GEOID,coverage
12011010102,100.0
12011110402,100.0
12011010304,100.0
12011010401,100.0
12099006910,100.0
12099006801,100.0
12099006906,100.0
12099006907,100.0
12099006908,100.0
12099006909,100.0
12011030100,100.0
12011030301,100.0
12105012510,100.0
12011010402,100.0
12011020501,100.0
12011020502,100.0
12086007101,100.0
12105014130,100.0
12105014401,100.0
12105012131,100.0
12105014703,100.0
12105012209,100.0
12105014126,100.0
12105014128,100.0
12105014127,100.0
12105012132,100.0
12105012414,100.0
12105012512,100.0
12105012509,100.0
12105012208,100.0
12105013601,100.0
12099006911,100.0
12071040314,0.0
12071040121,100.0
12099006912,100.0
12099007006,100.0
12099007008,100.0
12011010405,100.0
12011010502,100.0
12011030302,100.0
12011030401,100.0
12011030402,100.0
12086000602,100.0
12086000603,100.0
12086000605,100.0
12086008418,100.0
12086990000,0.0
12071040207,100.0
12071040125,100.0
12011010701,100.0
12011040300,100.0
12011040502,100.0
12011060303,100.0
12086013700,100.0
12069030307,100.0
12086001102,100.0
12086001103,100.0
12086001104,100.0
12037990100,0.0
12069030411,100.0
12099007768,100.0
12069031323,100.0
12071040122,100.0
12071050206,100.0
12011030500,100.0
12011030702,100.0
12011010603,100.0
12011010604,100.0
12011010605,100.0
12011010606,100.0
12011030703,100.0
12011030704,100.0
12011010702,100.0
12011010800,100.0
12035060211,100.0
12035060210,100.0
12071040131,100.0
12071040134,100.0
12086000804,100.0
12099007009,100.0
12099007100,100.0
12011040801,100.0
12086000903,100.0
12099007202,100.0
12099007302,100.0
12099007407,100.0
12099007501,100.0
12099007604,100.0
12099007605,100.0
12087972800,100.0
12087972700,100.0
12071040313,100.0
12071080203,100.0
12071040110,100.0
12071040124,100.0
12086013600,100.0
12086980100,0.0
12011110501,100.0
12069030914,100.0
12069030805,100.0
12086001004,100.0
12086001005,100.0
12099007610,100.0
12099007612,100.0
12119911202,100.0
12086001006,100.0
12086001101,100.0
12099007614,100.0
12099007615,100.0
12099007616,100.0
12099007705,100.0
12099007716,100.0
12117021805,100.0
12117022209,100.0
12071040311,100.0
12071040205,0.0
12071040312,100.0
12071040108,100.0
12109021408,100.0
12109020603,100.0
12109020808,100.0
12109020606,100.0
12109020903,100.0
12109021207,100.0
12109020906,100.0
12109020904,100.0
12109021208,100.0
12109020810,100.0
12109020811,100.0
12109020604,100.0
12109020809,100.0
12109021209,100.0
12109020905,100.0
12109020605,100.0
12061050602,100.0
12011040701,100.0
12011010103,100.0
12003040102,100.0
12003040202,100.0
12003040201,100.0
12003040101,100.0
12011020325,100.0
12011110338,100.0
12011050206,100.0
12011010503,100.0
12011030904,100.0
12011050311,100.0
12011020212,100.0
12011030201,100.0
12011030203,100.0
12011030202,100.0
12099007778,100.0
12099007746,100.0
12099007747,100.0
12099007779,100.0
12099007777,100.0
12099007773,100.0
12099007772,100.0
12099007852,0.0
12099007771,100.0
12099007850,0.0
12099007851,100.0
12099007853,100.0
12069031318,100.0
12069030408,100.0
12069031207,100.0
12069031208,100.0
12069031108,100.0
12069031312,100.0
12069031001,0.0
12069031324,100.0
12069030110,100.0
12069031106,100.0
12069030210,100.0
12069030915,100.0
12069031316,100.0
12069031321,100.0
12069031002,100.0
12069030917,100.0
12069031320,100.0
12069031319,100.0
12069031314,100.0
12069031317,100.0
12069031206,100.0
12069030918,100.0
12069030916,100.0
12069030409,100.0
12085990100,0.0
12099007730,100.0
12111382010,100.0
12111381602,100.0
12111381000,100.0
12111381204,100.0
12111381300,100.0
12086001401,100.0
12086001402,100.0
12086001501,100.0
12086001502,100.0
12099007723,100.0
12099007724,100.0
12099007725,100.0
12099007732,100.0
12031016102,100.0
12099007735,100.0
12117021708,100.0
12031016101,100.0
12031016606,100.0
12031015702,100.0
12031016002,100.0
12031014205,100.0
12031016811,100.0
12031015927,100.0
12031014422,100.0
12031014104,100.0
12031016001,100.0
12031014426,100.0
12031014421,100.0
12031012201,100.0
12031014206,100.0
12031014103,100.0
12031014428,100.0
12031014423,100.0
12031013525,100.0
12031014342,100.0
12031015929,100.0
12031014420,100.0
12031010104,100.0
12031016812,100.0
12031014419,100.0
12031010106,100.0
12031016813,100.0
12031012202,100.0
12031014416,100.0
12031013732,100.0
12031013728,100.0
12031010601,100.0
12031013523,100.0
12031010203,100.0
12031014704,100.0
12031001401,100.0
12031014340,100.0
12031010602,100.0
12031014424,100.0
12031010305,100.0
12031014414,100.0
12031015806,100.0
12031016605,100.0
12031014344,100.0
12031014427,100.0
12031014415,100.0
12031015804,100.0
12031010107,100.0
12031014417,100.0
12031014425,100.0
12031010105,100.0
12031014343,100.0
12031013730,100.0
12031010306,100.0
12031013524,100.0
12031010503,100.0
12086001702,100.0
12117020811,100.0
12117021707,100.0
12117021806,100.0
12071050207,100.0
12071050311,100.0
12071050103,100.0
12031013729,100.0
12031013526,100.0
12031014339,100.0
12031014341,100.0
12031011905,100.0
12031013731,100.0
12031017101,100.0
12031010307,100.0
12031010308,100.0
12031013733,100.0
12031011904,100.0
12031017102,100.0
12031013302,100.0
12031015701,100.0
12031010501,100.0
12031014703,100.0
12031016810,100.0
12031010204,100.0
12031013301,100.0
12031016730,100.0
12031016809,100.0
12031010502,100.0
12005002703,100.0
12097043303,100.0
12031000101,100.0
12031000102,100.0
12031015803,100.0
12071001706,100.0
12071010203,100.0
12011070320,100.0
12011070602,100.0
12011080103,100.0
12011090301,100.0
12031001402,100.0
12031015805,100.0
12031014418,100.0
12031016731,100.0
12031015928,100.0
12086009804,100.0
12086014900,100.0
12086015400,100.0
12086000134,100.0
12086004602,100.0
12011020326,100.0
12097042201,100.0
12097040810,100.0
12097042902,100.0
12097040904,100.0
12097043208,100.0
12097042901,100.0
12097041004,100.0
12097043801,100.0
12097043802,100.0
12097040811,100.0
12097041003,100.0
12097041006,100.0
12097040808,100.0
12097041501,100.0
12097043207,100.0
12097043304,100.0
12097043209,100.0
12097041102,100.0
12097041302,100.0
12097041101,100.0
12097040809,100.0
12097040903,100.0
12097040805,100.0
12097040812,100.0
12097042904,100.0
12097041005,100.0
12097040806,100.0
12097042604,100.0
12097042905,100.0
12097041502,100.0
12097040807,100.0
12097041301,100.0
12097042603,100.0
12011040402,100.0
12099007739,100.0
12099007740,100.0
12099007741,100.0
12099007743,100.0
12095012405,100.0
12097042202,100.0
12097042903,100.0
12011031001,100.0
12011031203,100.0
12011040401,100.0
12069030407,100.0
12069030807,100.0
12069030804,100.0
12069031306,100.0
12111382008,100.0
12111381804,100.0
12111382007,100.0
12099007736,100.0
12099007749,100.0
12099007805,100.0
12095017812,100.0
12095016750,100.0
12095016756,100.0
12095015005,100.0
12095016911,100.0
12095016753,100.0
12095015006,100.0
12095017122,100.0
12095016414,100.0
12095017025,100.0
12095017811,100.0
12095016514,100.0
12095016515,100.0
12095017813,100.0
12095016749,100.0
12095018800,100.0
12095016908,100.0
12095017814,100.0
12095012404,100.0
12095016814,100.0
12095016813,100.0
12095016910,100.0
12095016748,100.0
12086002709,100.0
12095016744,100.0
12095016742,100.0
12095016752,100.0
12095017123,100.0
12086002710,100.0
12086012105,100.0
12086002004,100.0
12086001803,100.0
12086001901,100.0
12086001904,100.0
12086002001,100.0
12086002003,100.0
12086002100,100.0
12086002201,100.0
12086001801,100.0
12086002202,100.0
12086002300,100.0
12117020812,100.0
12117021317,100.0
12047960103,100.0
12047960202,0.0
12047960201,0.0
12047960102,100.0
12047960101,100.0
12099001909,100.0
12117022208,100.0
12117021321,100.0
12071001910,100.0
12071980000,0.0
12071080300,100.0
12071040301,100.0
12099980100,0.0
12109021301,100.0
12109990100,0.0
12103027901,100.0
12125960201,100.0
12125960202,100.0
12086002600,100.0
12086003100,100.0
12086003400,100.0
12086004500,100.0
12105014131,100.0
12099001911,100.0
12011090503,100.0
12011090602,100.0
12011090802,100.0
12011091702,100.0
12011091802,100.0
12011091901,100.0
12011020414,100.0
12086017000,100.0
12011030705,100.0
12011031101,100.0
12011041801,100.0
12001001815,0.0
12001000201,100.0
12121970501,100.0
12121970502,0.0
12121970402,100.0
12121970601,0.0
12121970602,0.0
12121970304,0.0
12121970303,0.0
12121970401,100.0
12011040702,100.0
12011043302,100.0
12011051001,100.0
12011060606,100.0
12069031308,100.0
12115001510,100.0
12115002015,100.0
12115002101,100.0
12115002727,100.0
12115002012,100.0
12115002014,100.0
12115001508,100.0
12115002011,100.0
12115002013,100.0
12115001511,100.0
12115002745,100.0
12115001509,100.0
12115002731,100.0
12115002748,100.0
12115001206,100.0
12111382009,100.0
12111980000,100.0
12111990000,0.0
12099007821,100.0
12086002702,100.0
12086002800,100.0
12086002900,100.0
12086003001,100.0
12086003004,100.0
12099007823,100.0
12099007830,100.0
12086004701,100.0
12117021319,100.0
12031016604,100.0
12031014331,100.0
12105014303,100.0
12105014304,100.0
12105014402,100.0
12105012511,100.0
12105012130,100.0
12105014129,100.0
12105012514,100.0
12105012508,100.0
12105012415,100.0
12105012412,100.0
12105012413,100.0
12105012133,100.0
12031013906,100.0
12099004401,100.0
12099005930,100.0
12099006700,100.0
12099007603,100.0
12099007742,100.0
12099001600,100.0
12099002200,100.0
12099008101,100.0
12099007763,100.0
12011050309,100.0
12011070319,100.0
12071001711,100.0
12071001205,100.0
12071001204,100.0
12099008102,0.0
12081000305,100.0
12081002010,100.0
12081001402,100.0
12011110330,100.0
12099004601,100.0
12099000202,100.0
12086019700,100.0
12011100104,100.0
12011100501,100.0
12011100502,100.0
12086019000,100.0
12086019100,100.0
12011042301,100.0
12011042302,100.0
12011043002,100.0
12129010207,100.0
12129010208,100.0
12129010204,100.0
12129010205,100.0
12129010102,100.0
12129010209,100.0
12129010206,100.0
12129010101,100.0
12011060609,100.0
12011060801,100.0
12009071354,100.0
12009062402,100.0
12009062401,100.0
12009063109,100.0
12009062113,100.0
12009062112,100.0
12009062110,100.0
12009065024,100.0
12009071351,100.0
12009071352,100.0
12009071342,100.0
12009071341,100.0
12009071345,100.0
12009065023,100.0
12009071205,100.0
12009060105,100.0
12009069905,100.0
12009071401,100.0
12011070102,100.0
12071001920,100.0
12086003918,100.0
12086003917,100.0
12099007759,100.0
12099006402,100.0
12099007764,100.0
12099007813,100.0
12086004703,100.0
12086005002,100.0
12099008201,100.0
12099008202,100.0
12099008203,100.0
12099000408,100.0
12099000904,100.0
12099001700,100.0
12035060218,100.0
12035060216,100.0
12035060215,100.0
12035060219,100.0
12035060217,100.0
12035060220,100.0
12099001916,100.0
12099001917,100.0
12099002005,100.0
12031015924,100.0
12081000304,100.0
12031017200,100.0
12031010402,100.0
12031012704,100.0
12031013403,100.0
12099000204,100.0
12081000101,100.0
12081000403,100.0
12086010201,100.0
12099000210,100.0
12099000211,100.0
12099000702,100.0
12099000902,100.0
12099000903,100.0
12011110328,100.0
12011110327,100.0
12011110332,100.0
12011050501,100.0
12011050502,100.0
12011060124,100.0
12011060128,100.0
12011060125,100.0
12086003906,100.0
12061050603,100.0
12099005815,100.0
12081000103,100.0
12081000406,100.0
12081000407,100.0
12081001701,100.0
12081000405,100.0
12081000503,100.0
12081000504,100.0
12011060126,100.0
12081000501,100.0
12011091701,100.0
12011100201,100.0
12011990000,0.0
12011010407,100.0
12011020104,100.0
12086004000,100.0
12086005600,100.0
12086005701,100.0
12061050702,100.0
12099007814,100.0
12099005944,0.0
12099007820,100.0
12099005943,100.0
12099005942,100.0
12099007206,100.0
12099007207,100.0
12099005961,100.0
12099007831,100.0
12099007832,100.0
12099007844,100.0
12099007919,100.0
12099007767,100.0
12009065130,100.0
12009065126,100.0
12099007833,100.0
12099007834,100.0
12099001913,100.0
12099003600,100.0
12099007010,100.0
12081001300,100.0
12103027212,100.0
12103027108,100.0
12081000805,100.0
12095017506,100.0
12099000102,100.0
12099000208,100.0
12099000213,100.0
12086001003,100.0
12086005202,100.0
12081001204,100.0
12095017810,100.0
12095016735,100.0
12095017113,100.0
12095017401,100.0
12095017505,100.0
12095016603,100.0
12095014705,100.0
12095018204,100.0
12095016512,100.0
12095016738,100.0
12095016745,100.0
12095014706,100.0
12095017402,100.0
12095016739,100.0
12095015204,100.0
12095019000,100.0
12095013513,100.0
12095016812,100.0
12095016810,100.0
12095016809,100.0
12095017023,100.0
12095016747,100.0
12095017120,100.0
12081000901,100.0
12081000902,100.0
12081000703,100.0
12081000601,100.0
12081000804,100.0
12087972000,100.0
12087971002,100.0
12095013702,100.0
12095018300,100.0
12095016511,100.0
12009071349,100.0
12095017019,100.0
12095017115,100.0
12095017112,100.0
12095018201,100.0
12095017116,100.0
12095017118,100.0
12086008415,100.0
12086008502,100.0
12086008601,100.0
12009065127,100.0
12009071350,100.0
12009071202,100.0
12009071344,100.0
12009071203,100.0
12009065240,100.0
12009065237,100.0
12009064701,100.0
12009060201,100.0
12009063108,100.0
12009071201,100.0
12009062115,100.0
12095017108,100.0
12095016733,100.0
12045960102,100.0
12045960302,100.0
12045960301,100.0
12073001804,100.0
12073002517,100.0
12073002516,100.0
12073002105,100.0
12073002106,100.0
12073000906,100.0
12095013202,100.0
12095013406,100.0
12095013510,100.0
12095013512,100.0
12009062106,100.0
12115002204,100.0
12095016906,100.0
12086009200,100.0
12009068603,100.0
12009062114,100.0
12009068604,100.0
12009060106,100.0
12009071348,100.0
12009071204,0.0
12081001202,100.0
12081001203,100.0
12095017200,100.0
12009064201,100.0
12009061202,100.0
12009061001,100.0
12009061002,100.0
12045960101,100.0
12073000907,100.0
12073002008,100.0
12073001702,100.0
12073001701,100.0
12073002514,100.0
12009062109,100.0
12095013201,100.0
12095013606,100.0
12095016907,100.0
12095018000,100.0
12095013701,100.0
12009990000,0.0
12086005902,100.0
12009062108,100.0
12009062301,100.0
12009063105,100.0
12009071337,100.0
12086009010,100.0
12009063106,100.0
12009064126,100.0
12009064124,100.0
12095014608,100.0
12095014609,100.0
12095014908,100.0
12095014909,100.0
12009065124,100.0
12086003911,100.0
12086000127,100.0
12086010207,100.0
12086005903,100.0
12086006002,100.0
12115001205,100.0
12009071339,100.0
12095016510,100.0
12095016723,100.0
12095016724,100.0
12086006302,100.0
12086006401,100.0
12086006403,100.0
12009064602,100.0
12009068101,100.0
