GEOID,coverage
13153020108,0.0
13245010802,0.0
13245010801,0.0
13245011100,0.0
13089023315,0.0
13089021411,0.0
13089021416,0.0
13039010604,0.0
13039010202,0.0
13039010303,0.0
13039010405,0.0
13039010304,0.0
13039010603,0.0
13039010404,0.0
13039010406,0.0
13039010407,0.0
13039010305,0.0
13039010201,0.0
13127990000,0.0
13135050311,0.0
13179010402,0.0
13179010302,0.0
13179010301,0.0
13179010401,0.0
13179010504,0.0
13179010503,0.0
13251970402,0.0
13251970401,0.0
13207050301,0.0
13207050102,0.0
13207050200,0.0
13207050302,0.0
13207050101,0.0
13115001706,0.0
13115001301,0.0
13115001302,0.0
13047030701,0.0
13047030306,0.0
13047030502,0.0
13047030702,0.0
13047030501,0.0
13047030403,0.0
13047030404,0.0
13047030305,0.0
13103030306,0.0
13103030309,0.0
13103030307,0.0
13103030308,0.0
13103030206,0.0
13103030205,0.0
13103030207,0.0
13103030208,0.0
13103030404,0.0
13103030403,0.0
13103030209,0.0
13059000401,0.0
13295020503,0.0
13295020903,0.0
13295020701,0.0
13295020702,0.0
13295020102,0.0
13295020101,0.0
13295020504,0.0
13295020505,0.0
13295020904,0.0
13295020506,0.0
13035150102,0.0
13035150201,0.0
13035150202,0.0
13035150101,0.0
13083040103,0.0
13083040104,0.0
13105000502,0.0
13105000501,0.0
13039010100,0.0
13039010302,0.0
13039010500,0.0
13077170309,0.0
13077170308,0.0
13077170310,0.0
13077170307,0.0
13077170408,0.0
13077170102,0.0
13077170702,0.0
13077170701,0.0
13077170604,0.0
13077170101,0.0
13077170407,0.0
13077170606,0.0
13077170607,0.0
13077170605,0.0
13101880100,0.0
13101880200,0.0
13147960402,0.0
13147960503,0.0
13147960103,0.0
13147960102,0.0
13147960101,0.0
13147960501,0.0
13147960502,0.0
13147960401,0.0
13059000402,0.0
13081010202,0.0
13245001602,0.0
13045910301,0.0
13045910105,0.0
13045910106,0.0
13045911202,0.0
13045910709,0.0
13045910707,0.0
13045910706,0.0
13045910504,0.0
13045910202,0.0
13045910201,0.0
13045910302,0.0
13045911201,0.0
13045910705,0.0
13117130413,0.0
13117130414,0.0
13117130512,0.0
13117130511,0.0
13117130411,0.0
13117130412,0.0
13117130415,0.0
13117130614,0.0
13117130615,0.0
13261950200,0.0
13261950400,0.0
13261950100,0.0
13261950500,0.0
13261950300,0.0
13261950700,0.0
13261950600,0.0
13261950800,0.0
13151070120,0.0
13151070408,0.0
13151070207,0.0
13151070211,0.0
13151070209,0.0
13151070407,0.0
13151070315,0.0
13151070212,0.0
13089021906,0.0
13191110101,0.0
13191110202,0.0
13017960502,0.0
13017960501,0.0
13023790302,0.0
13023790301,0.0
13225040103,0.0
13225040104,0.0
13225040105,0.0
13215010608,0.0
13215010801,0.0
13215010607,0.0
13121006601,0.0
13215003301,0.0
13215003302,0.0
13215011200,0.0
13215011500,0.0
13027960301,0.0
13027960302,0.0
13121010108,0.0
13311950205,0.0
13275960300,0.0
13275960800,0.0
13185010604,0.0
13045910503,0.0
13045911101,0.0
13045910203,0.0
13045911001,0.0
13045910704,0.0
13045910708,0.0
13045911002,0.0
13045911102,0.0
13071970901,0.0
13071970902,0.0
13071970602,0.0
13071970703,0.0
13071970704,0.0
13071970601,0.0
13071970302,0.0
13071970102,0.0
13071970101,0.0
13071970301,0.0
13095010701,0.0
13095010702,0.0
13085970103,0.0
13085970204,0.0
13085970206,0.0
13095000101,0.0
13085970102,0.0
13085970205,0.0
13085970203,0.0
13095000102,0.0
